X,Y,TYPE,SPEED,DirType,Direction
0.167862,51.78246,4,5,1,21
0.168047,51.782614,4,60,1,196
0.161777,51.773712,4,5,1,206
0.14994,51.76217,4,60,1,22
0.161545,51.773789,4,5,1,30
0.161532,51.773502,4,60,1,209
0.150209,51.762085,4,5,1,206
0.141934,51.528062,4,50,1,144
0.151599,51.524297,4,5,1,108
0.151542,51.524155,4,50,1,289
0.141421,51.528287,4,5,1,323
0.136271,51.531407,4,50,1,104
0.141335,51.528691,4,5,1,144
0.141051,51.528681,4,50,1,316
0.13633,51.531211,4,5,1,291
0.121322,51.449196,4,50,1,100
0.153349,51.447782,4,5,1,118
0.152371,51.447937,4,50,1,290
0.120867,51.449168,4,5,1,277
0.237373,51.44357,4,60,1,157
0.238828,51.440547,4,5,1,175
0.246005,51.454842,4,50,1,226
0.236466,51.448775,4,5,1,217
0.115126,51.5327,4,40,1,277
0.099159,51.531143,4,5,1,254
0.099274,51.531295,4,40,1,74
0.115219,51.532826,4,5,1,92
0.078177,51.527024,4,50,1,61
0.088429,51.529396,4,5,1,76
0.087727,51.529192,4,50,1,255
0.077745,51.526752,4,5,1,246
0.089153,51.52948,4,50,1,73
0.098858,51.531238,4,5,1,73
0.098746,51.531072,4,50,1,254
0.088257,51.529256,4,5,1,257
0.064037,51.522135,4,50,1,59
0.068587,51.523747,4,5,1,61
0.068965,51.523738,4,50,1,243
0.063704,51.521859,4,5,1,237
0.05978,52.99131,4,40,1,248
0.03708,52.98553,4,5,1,255
0.036865,52.985592,4,40,1,80
0.059477,52.99134,4,5,1,70
0.050078,51.455097,4,50,1,94
0.120872,51.44926,4,5,1,104
0.120427,51.449214,4,50,1,278
0.049733,51.455016,4,5,1,269
0.037138,51.518347,4,50,1,61
0.053737,51.519562,4,5,1,93
0.053781,51.519438,4,50,1,269
0.03675,51.518049,4,5,1,237
0.036067,51.45935,4,50,1,120
0.049618,51.455114,4,5,1,104
0.049291,51.455055,4,50,1,271
0.036321,51.459153,4,5,1,298
0.02739,51.47075,4,50,1,157
0.035658,51.459508,4,5,1,123
0.035879,51.459313,4,50,1,299
0.027206,51.470729,4,5,1,338
0.023796,51.517357,4,50,1,90
0.036397,51.518045,4,5,1,71
0.036077,51.517831,4,50,1,245
0.028745,51.516936,4,5,1,273
0.02039,52.47639,4,50,1,260
-0.01111,52.47372,4,5,1,260
-0.011022,52.473711,4,50,1,79
0.020185,52.476331,4,5,1,83
0.027735,51.517002,4,50,1,271
0.015149,51.51671,4,5,1,258
0.01486,51.51681,4,50,1,73
0.023321,51.517351,4,5,1,86
0.011459,51.490013,4,50,1,142
0.027291,51.470997,4,5,1,157
0.027086,51.47101,4,50,1,341
0.011422,51.489869,4,5,1,314
0.005861,51.494257,4,50,1,141
0.011098,51.49032,4,5,1,138
0.0109,51.490293,4,50,1,313
0.006234,51.493821,4,5,1,323
0.004668,51.495093,4,50,1,132
0.005501,51.494532,4,5,1,135
0.005943,51.494035,4,50,1,320
0.004424,51.495132,4,5,1,314
0.00197,51.49706,4,30,1,167
0.004369,51.495248,4,5,1,126
0.004048,51.495295,4,30,1,308
0.002153,51.497042,4,5,1,342
-0.032654,51.7302,4,70,1,182
-0.032999,51.72502,4,5,1,181
-0.033244,51.724965,4,70,1,6
-0.032926,51.730281,4,5,1,2
-0.03396,51.759617,4,70,1,181
-0.032612,51.730415,4,5,1,181
-0.032837,51.730639,4,70,1,2
-0.03411,51.75967,4,5,1,6
